,standard_dGr_prime,SD
BIOCYTtn,-1.220703097715159e-06,1.4900580936227925e-05
BMTer_L,,
BMTer_U,,
BPNT2,-24.027037065205846,1.9548496007919312
BTND1,-18.728078380101344,42.91525650024414
BTND1n,-18.728080287449977,42.91525650024414
BTNDe,-17.959738346175303,42.91525650024414
BTNDm,-15.12830489003953,42.91525650024414
BTNPL,-81.48181023874864,10.297417640686035
BTNPLm,-85.80927128890426,10.297417640686035
BTNt2,-18.256629256962846,1.2400053492456209e-05
BTNt2m,73.0251255746426,1.2889837307739072e-05
BTNt3i,-42.016693260307875,0.3780813217163086
BTNt4i,-10.185550919000036,1.2400053492456209e-05
BTNtn,1.5258789289873675e-06,1.2489858818298671e-05
BUP2,-65.87298768508785,69.19596862792969
BUTt2m,36.522257002641474,3.4551976568764076e-06
BVITEt,-54.766702877991904,3.660074798972346e-05
BZt,-2.811081332740102,7.150497367547359e-06
BZtr,4.577636616431846e-07,5.891947694180999e-06
C14STRr,-61.082697992251745,11.28533935546875
C160CPT1,-1.93865989244199,1.822158694267273
C160CPT2,1.9354101098531373,1.822153925895691
C160CRNt,205.38021876536914,4.2215859139105305e-05
C161CPT1,-1.9386476138848607,1.8221607208251953
C161CPT12,1.3673660888804307,3.331730604171753
C161CPT2,1.9353856719483815,1.822141408920288
C161CPT22,-1.3993552465888683,3.3317084312438965
C161CRN2t,196.25209253758067,2.429168853268493e-05
C161CRNt,196.2523029721119,1.7263348127016798e-05
C180CPT1,-1.9386720517892968,1.8221553564071655
C180CPT2,1.9354089177602418,1.8221361637115479
C180CRNt,223.6360466897745,2.082363425870426e-05
C181CPT1,-1.938663468720442,1.8221673965454102
C181CPT2,1.9354077256673463,1.8221426010131836
C181CRNt,214.5081260137049,3.208847192581743e-05
C204CPT1,,
C204CPT2,,
C204CRNt,241.8919734251241,5.409794539446011e-05
C226COAtx,-73.54947668715509,4.892601282335818e-05
C226CPT1,-1.78853790384224,1.8574140071868896
C226CPT2,1.7938850889638616,1.8573962450027466
C226CRNt,205.38000590152433,2.980116187245585e-05
C2M26DCOAHLm,1.1849913024599914,4.385335922241211
C2M26DCOAHLx,1.2546521425247192,4.385340213775635
C3STDH1Pr,1.9717102544320326,10.73965072631836
C3STDH1r,2.030609516801384,10.739638328552246
C3STKR2r,-20.234639291696645,7.858308792114258
C4STMO1r,-1360.9194206488442,23.10875701904297
C4STMO2Pr,-418.58503424651775,9.058785438537598
C4STMO2r,-418.52615817035525,9.05876636505127
CAATPS,-17.35825253423457,0.378083199262619
CAROtr,-63.89539102155277,7.320148142753169e-05
